學年,學期,系所,班級,開課班級,選課編號,科目代碼,科目名稱,組別,學期_課程,修選別,學分數,時數,人數,授課教師,星期,節次,週別,教室,備註
114,1,中國文學系,中一Ａ,中一Ａ,988.0,BCN10101,文學概論,Ａ組,全,必,2.0,2.0,71.0,鹿憶鹿,三,34,,B710,
114,1,中國文學系,中一Ａ,中一Ａ,989.0,BCN10201,國學導讀,Ａ組,全,必,2.0,2.0,71.0,陳恆嵩,五,34,,D0731,
114,1,中國文學系,中一Ａ,中一Ａ,990.0,BCN11501,論語,,單,選,2.0,2.0,71.0,涂美雲,四,56,,D0618,
114,1,中國文學系,中一Ａ,中一Ａ,993.0,BCN46001,現代散文選讀及習作,,全,選,2.0,2.0,71.0,許蓓苓,二,56,,B710,
114,1,中國文學系,中一Ａ,中一Ａ,994.0,BCN47101,現代戲劇及習作,,全,選,2.0,2.0,71.0,侯淑娟,三,78,,D0634,
114,1,中國文學系,中一Ａ,中一Ａ,995.0,BCN47601,文學與電影,,單,選,2.0,2.0,72.0,鍾正道,四,78,,B405,
114,1,中國文學系,中一Ａ,中一Ａ,996.0,BCN49001,書法－楷書、行書,,單,選,2.0,2.0,71.0,吳啟禎,三,89,,D0401,
114,1,中國文學系,中一Ａ,中一Ａ,998.0,BCN49901,故事書寫,,單,選,2.0,2.0,65.0,許蓓苓,二,34,,B710,
114,1,中國文學系,中一Ａ,中一Ａ,999.0,BCN50901,蒙書選讀,,單,選,2.0,2.0,71.0,楊振良,二,56,,D0313,
114,1,中國文學系,中一Ａ,中一Ａ,1000.0,BCN52101,先秦兩漢文學史,Ａ組,單,必,2.0,2.0,71.0,陳慷玲,一,56,,D0634,
114,1,中國文學系,中一Ａ,中一Ａ,,BDC995B1,通識課程（一）,通識一Ｂ,全,必,2.0,2.0,,,五,12,,241,
114,1,中國文學系,中一Ａ,中一Ａ,986.0,BHS00401,真實世界的大問題探索,,單,選,2.0,2.0,80.0,張峰賓  林沛君  林盈翔  李孟蓉  劉育成,三,78,,D0418,
114,1,中國文學系,中一Ａ,中一Ａ,1002.0,BSP17101,國文,Ａ組,全,必,2.0,2.0,71.0,林盈翔,四,34,,D0731,
114,1,中國文學系,中一Ａ,中一Ａ,859.0,BSP18121,思維方法,２１組中Ａ,單,必,1.0,1.0,70.0,郭仲謙,一,78,單,D0313,
114,1,中國文學系,中一Ａ,中一Ａ,812.0,BSP18221,生命關懷,２１組中Ａ,單,必,1.0,1.0,70.0,陳昱安,一,78,雙,D0313,
114,1,中國文學系,中一Ａ,中一Ａ,,BSP92531,外文（一）,,全,必,2.0,2.0,,,,,,,
114,1,中國文學系,中一Ａ,中一Ａ,,BSP99001,系會時間,中文系,全,必,0.0,2.0,,,三,56,,101,
114,1,中國文學系,中一Ａ,中一Ａ,,BSP99711,體育,,單,必,0.0,2.0,,,,,,,
114,1,中國文學系,中一Ｂ,中一Ｂ,1003.0,BCN10102,文學概論,Ｂ組,全,必,2.0,2.0,104.0,鍾正道,五,34,,H203,
114,1,中國文學系,中一Ｂ,中一Ｂ,1004.0,BCN10202,國學導讀,Ｂ組,全,必,2.0,2.0,71.0,涂美雲,二,78,,D0618,
114,1,中國文學系,中一Ｂ,中一Ｂ,990.0,BCN11501,論語,,單,選,2.0,2.0,71.0,涂美雲,四,56,,D0618,
